28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
2806700188890215050704.00V04.00V04.00V04.00V04.00V030.0V00166V00230V00531V00706V00847V00977V00987V00949V00844V00691V00497V00285V082.0V05.00V04.00V04.00V04.00V04.00V
2806700189890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
28074007070802150507019.0V034.0V042.0V056.0V089.0V00151V084.0V086.0V040.0V017.0V014.0V09.00V04.00V02.00V02.00V03.00V03.00V05.00V04.00V08.00V024.0V033.0V04.00V01.00V
28074007080802150507080.0V078.0V076.0V075.0V075.0V089.0V079.0V082.0V069.0V046.0V039.0V030.0V018.0V013.0V013.0V014.0V020.0V030.0V041.0V061.0V099.0V00107V055.0V013.0V
28074007104902150507029.0V023.0V020.0V031.0V028.0V041.0V048.0V040.0V042.0V036.0V028.0V034.0V033.0V021.0V019.0V019.0V022.0V024.0V020.0V022.0V028.0V038.0V040.0V026.0V
2807400714060215050702.00V01.00V02.00V01.00V02.00V02.00V04.00V08.00V026.0V051.0V061.0V080.0V00104V00118V00123V00122V00119V00111V090.0V061.0V011.0V04.00V050.0V087.0V
2807400781890215050700.20V00.20V00.20V00.20V00.20V00.30V00.30V01.30V01.30V01.20V01.20V01.20V01.30V01.20V01.30V01.20V01.00V00.70V00.50V00.60V00.20V00.20V00.20V00.70V
2807400782890215050700246V00236V00300V00237V00295V00338V047.0V043.0V067.0V074.0V00150V00190V00199V00214V00197V00186V00213V00271V00260V00275V00258V00229V00249V00227V
28074007838902150507012.4V011.6V010.9V010.0V09.60V010.1V012.4V013.8V016.4V018.4V021.1V023.9V025.2V026.8V027.5V028.1V028.4V028.4V026.7V024.0V021.1V019.1V019.1V018.7V
28074007868902150507041.0V047.0V053.0V057.0V060.0V059.0V052.0V047.0V038.0V036.0V032.0V026.0V023.0V017.0V017.0V017.0V018.0V019.0V021.0V025.0V032.0V036.0V036.0V037.0V
2807400787890215050700945V00945V00945V00945V00945V00945V00946V00945V00945V00945V00945V00944V00943V00942V00941V00940V00939V00939V00939V00939V00940V00940V00940V00941V
2807400788890215050704.00V04.00V04.00V04.00V04.00V014.0V00101V00215V00340V00523V00801V00897V00823V00844V00722V00571V00395V00216V024.0V04.00V04.00V04.00V04.00V04.00V
2807400789890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2808000307080215050702.00V01.00V01.00V01.00V01.00V03.00V010.0V017.0V015.0V07.00V06.00V06.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28080003080802150507080.0V019.0V033.0V045.0V033.0V064.0V080.0V093.0V090.0V055.0V053.0V049.0V015.0V09.00V04.00V04.00V04.00V05.00V018.0V026.0V049.0V00103V076.0V010.0V
28080003104902150507014.0V018.0V01.00V04.00V015.0V09.00V09.00V014.0V020.0V019.0V025.0V025.0V021.0V021.0V020.0V015.0V06.00V016.0V015.0V015.0V016.0V011.0V011.0V024.0V
28080003140602150507034.0V078.0V058.0V050.0V060.0V038.0V038.0V037.0V050.0V071.0V079.0V093.0V00123V00136V00138V00141V00144V00141V00129V00112V086.0V042.0V057.0V00113V
2808000381890215050702.60V03.00V02.50V03.20V03.50V03.50V03.80V03.70V03.00V02.00V02.20V02.20V02.30V02.10V02.30V02.20V02.10V01.80V01.90V01.80V01.70V01.30V01.40V02.50V
2808000382890215050704.00V04.00V05.00V05.00V05.00V05.00V06.00V017.0V030.0V039.0V028.0V038.0V00189V035.0V00281V00273V00274V00264V00285V00321V00336V00331V00296V00247V
28080003838902150507013.8V013.6V012.7V012.0V011.8V011.5V012.5V014.3V016.5V017.0V019.0V021.7V023.0V024.1V025.1V025.6V026.1V026.0V024.9V023.1V021.7V020.0V018.5V018.3V
28080003868902150507051.0V054.0V056.0V060.0V063.0V065.0V061.0V053.0V046.0V054.0V049.0V037.0V030.0V030.0V026.0V027.0V027.0V027.0V030.0V033.0V035.0V041.0V048.0V049.0V
2808000387890215050700943V00942V00941V00941V00941V00941V00942V00942V00941V00942V00942V00941V00940V00940V00938V00937V00936V00935V00935V00935V00935V00937V00937V00937V
2808000388890215050703.00V03.00V03.00V03.00V03.00V025.0V00156V00326V00415V00491V00701V00900V00973V00920V00815V00660V00476V00276V060.0V05.00V03.00V03.00V03.00V04.00V
2808000389890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
28092005013802150507*****N*****N*****N*****N*****N*****N*****N*****N*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2809200506480215050700.50V00.40V00.40V00.50V00.40V00.40V00.40V00.40V00.40V00.30V00.30V00.30V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.30V00.30V00.30V00.30V00.30V
28092005070802150507034.0V040.0V015.0V036.0V033.0V012.0V022.0V029.0V017.0V010.0V010.0V07.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V02.00V01.00V01.00V
28092005080802150507057.0V055.0V056.0V060.0V056.0V049.0V050.0V053.0V043.0V032.0V031.0V023.0V010.0V08.00V08.00V09.00V08.00V010.0V014.0V033.0V037.0V037.0V016.0V013.0V
28092005104902150507016.0V021.0V018.0V017.0V022.0V018.0V018.0V021.0V019.0V020.0V023.0V026.0V022.0V023.0V016.0V08.00V016.0V019.0V017.0V016.0V024.0V021.0V016.0V011.0V
2809200514060215050702.00V02.00V06.00V02.00V02.00V05.00V09.00V012.0V031.0V054.0V059.0V086.0V00119V00127V00133V00135V00136V00131V00115V062.0V057.0V059.0V085.0V089.0V
2809200581890215050700.90V01.00V02.20V01.20V01.10V01.60V01.70V01.90V02.10V02.20V01.90V02.40V02.80V02.90V02.40V02.60V02.30V02.60V02.30V01.20V01.10V01.80V02.00V02.60V
2809200582890215050700247V00143V00109V073.0V054.0V057.0V059.0V084.0V092.0V00126V00116V00161V00178V00210V00200V00244V00216V00249V00273V00266V00210V00202V00228V00225V
28092005838902150507013.3V012.8V013.7V012.4V011.7V012.1V013.4V015.2V016.9V018.6V020.9V023.0V024.6V026.0V027.0V027.6V027.9V027.7V026.2V023.0V022.1V021.2V019.6V018.7V
28092005868902150507040.0V042.0V034.0V039.0V045.0V045.0V042.0V037.0V037.0V037.0V032.0V026.0V021.0V016.0V016.0V017.0V017.0V017.0V021.0V027.0V027.0V029.0V033.0V036.0V
2809200587890215050700929V00929V00929V00929V00929V00929V00929V00929V00929V00929V00929V00928V00927V00927V00926V00925V00924V00924V00924V00924V00924V00925V00925V00926V
2809200588890215050704.00V04.00V04.00V04.00V04.00V021.0V00105V00256V00397V00584V00749V00924V00930V00885V00778V00622V00435V00238V062.0V04.00V04.00V04.00V04.00V04.00V
2809200589890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2810200101380215050701.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V
2810200106480215050700.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V
2810200107080215050701.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2810200108080215050705.00V05.00V04.00V04.00V04.00V04.00V04.00V04.00V04.00V05.00V05.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V04.00V07.00V010.0V07.00V04.00V
2810200110490215050709.00V010.0V08.00V011.0V015.0V011.0V010.0V09.00V04.00V017.0V014.0V015.0V09.00V06.00V06.00V08.00V012.0V08.00V08.00V09.00V07.00V012.0V014.0V010.0V
2810200114060215050700100V089.0V093.0V094.0V090.0V090.0V084.0V084.0V083.0V090.0V097.0V00113V00120V00124V00125V00127V00124V00122V00120V00104V097.0V093.0V095.0V099.0V
2810200181890215050700.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.50V00.40V01.00V01.90V02.70V02.40V00.60V02.10V02.90V02.50V03.10V03.20V01.20V00.50V02.30V
28102001828902150507018.0V022.0V018.0V035.0V053.0V050.0V051.0V083.0V00102V00148V00178V00170V00183V00192V00189V00171V00187V00250V00266V00256V00277V00258V00179V00237V
28102001838902150507016.0V013.5V013.2V012.8V011.9V011.8V012.8V014.6V016.8V019.6V022.1V024.5V026.8V028.2V028.4V028.9V029.8V030.1V029.1V027.2V025.3V023.9V022.7V021.5V
28102001868902150507027.0V034.0V033.0V037.0V039.0V039.0V040.0V043.0V045.0V041.0V035.0V023.0V019.0V016.0V019.0V019.0V018.0V019.0V021.0V024.0V027.0V029.0V031.0V030.0V
2810200187890215050700928V00928V00927V00927V00927V00927V00926V00926V00926V00926V00926V00925V00926V00926V00925V00923V00923V00923V00924V00924V00925V00926V00926V00926V
2810200188890215050704.00V04.00V04.00V04.00V04.00V025.0V00161V00266V00504V00718V00821V00909V00977V00958V00849V00703V00495V00285V093.0V04.00V04.00V04.00V04.00V04.00V
2810200189890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2812300207080215050703.00V06.00V06.00V06.00V08.00V024.0V051.0V057.0V057.0V019.0V011.0V08.00V03.00V07.00V06.00V05.00V05.00V011.0V08.00V06.00V017.0V07.00V03.00V02.00V
28123002080802150507055.0V076.0V065.0V058.0V047.0V060.0V063.0V075.0V070.0V045.0V025.0V014.0V03.00V09.00V09.00V09.00V021.0V025.0V058.0V091.0V00132V086.0V065.0V044.0V
28123002104902150507*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N
28123002140602150507021.0V03.00V06.00V06.00V019.0V08.00V011.0V014.0V020.0V050.0V064.0V091.0V00115V00124V00126V00128V00128V00119V081.0V043.0V07.00V026.0V034.0V051.0V
2812300281890215050700.30V00.30V00.30V00.40V00.50V00.80V01.80V01.40V00.90V00.30V00.40V01.60V02.20V02.80V01.60V03.10V01.30V02.60V01.90V00.70V00.30V00.30V00.30V00.90V
28123002828902150507032.0V010.0V037.0V031.0V046.0V092.0V084.0V044.0V046.0V029.0V085.0V00169V00205V00228V00215V00202V00225V00212V00228V00244V00228V00152V00187V00230V
28123002838902150507013.7V012.8V011.8V010.9V010.5V010.5V011.4V013.1V015.8V018.8V022.6V024.3V026.2V026.9V028.9V028.8V029.4V029.0V027.9V024.7V022.7V021.2V019.9V019.1V
28123002868902150507039.0V042.0V047.0V051.0V054.0V056.0V052.0V047.0V043.0V037.0V033.0V027.0V021.0V018.0V016.0V017.0V017.0V018.0V019.0V026.0V030.0V034.0V038.0V037.0V
2812300287890215050700948V00948V00948V00948V00947V00948V00948V00948V00948V00948V00947V00946V00946V00945V00944V00943V00943V00942V00942V00943V00943V00944V00944V00945V
2812300288890215050704.00V04.00V04.00V04.00V04.00V028.0V00122V00212V00380V00462V00704V00803V00828V00756V00783V00652V00481V00293V00107V06.00V04.00V04.00V04.00V04.00V
2812300289890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2813300207080215050701.00V02.00V01.00V01.00V01.00V02.00V04.00V08.00V03.00V02.00V02.00V02.00V02.00V01.00V*****N*****N*****N01.00V01.00V02.00V01.00V01.00V01.00V01.00V
2813300208080215050707.00V08.00V05.00V06.00V06.00V012.0V019.0V020.0V011.0V010.0V010.0V09.00V011.0V07.00V*****N*****N*****N08.00V06.00V014.0V011.0V011.0V04.00V03.00V
28133002140602150507069.0V062.0V062.0V062.0V056.0V046.0V036.0V041.0V058.0V087.0V00101V00111V00116V00123V00126V00128V*****N*****N00124V00101V099.0V094.0V00108V00103V
2813300281890215050700.80V00.60V00.70V00.90V00.70V00.60V00.70V00.90V01.30V01.90V02.20V02.60V03.30V03.50V03.60V03.90V03.00V03.40V02.20V00.80V00.80V01.00V01.40V01.40V
2813300282890215050700240V00302V00281V00329V00248V00220V094.0V00183V00166V00107V051.0V00137V00151V00164V00162V00144V00163V00162V00195V00232V00246V00280V00245V00230V
28133002838902150507012.0V010.8V010.0V09.20V08.50V07.80V09.10V013.1V016.9V020.7V024.6V025.8V027.2V028.5V029.3V029.8V030.2V029.7V028.7V025.5V022.7V021.8V020.3V019.0V
28133002868902150507051.0V054.0V056.0V058.0V064.0V066.0V065.0V057.0V046.0V033.0V026.0V025.0V023.0V022.0V021.0V022.0V023.0V023.0V026.0V032.0V038.0V037.0V041.0V045.0V
2813300287890215050700939V00938V00938V00938V00938V00938V00938V00938V00938V00938V00938V00937V00936V00936V00935V00934V00934V00933V00933V00934V00934V00934V00934V00935V
2813300288890215050704.00V04.00V04.00V04.00V04.00V04.00V038.0V00193V00340V00532V00648V00732V00750V00722V00647V00532V00368V00148V013.0V04.00V04.00V04.00V04.00V04.00V
2813300289890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2814800407080215050701.00V02.00V02.00V01.00V03.00V029.0V050.0V043.0V022.0V*****N*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V05.00V03.00V03.00V01.00V01.00V
28148004080802150507037.0V044.0V036.0V024.0V038.0V046.0V051.0V052.0V042.0V*****N*****N015.0V012.0V010.0V011.0V010.0V09.00V018.0V045.0V092.0V076.0V074.0V035.0V025.0V
28148004094902150507010.0V06.00V07.00V04.00V06.00V08.00V08.00V016.0V014.0V010.0V05.00V07.00V010.0V07.00V05.00V06.00V07.00V03.00V06.00V014.0V010.0V015.0V013.0V05.00V
28148004104902150507014.0V024.0V020.0V017.0V017.0V024.0V035.0V057.0V058.0V041.0V028.0V026.0V027.0V027.0V018.0V016.0V018.0V023.0V034.0V066.0V043.0V033.0V023.0V022.0V
28148004140602150507021.0V011.0V012.0V018.0V06.00V02.00V04.00V09.00V033.0V*****N*****N*****N00104V00118V00123V00122V00125V00114V073.0V021.0V029.0V023.0V053.0V055.0V
2814800481890215050700.60V00.70V00.60V00.30V00.30V00.70V00.80V01.00V01.40V00.70V00.50V00.90V01.40V01.90V01.30V01.60V00.70V00.90V00.50V00.30V00.10V00.30V00.40V00.70V
28148004828902150507038.0V036.0V08.00V00285V039.0V041.0V049.0V038.0V061.0V045.0V00118V00228V00238V00225V00218V00205V00222V00212V00214V00252V00189V00186V00198V00170V
28148004838902150507010.8V09.60V08.40V07.40V07.40V07.30V08.60V010.8V014.0V017.6V020.6V022.9V024.5V025.6V026.8V027.3V027.5V027.1V025.4V022.9V021.1V019.4V017.3V016.2V
28148004868902150507038.0V041.0V044.0V047.0V048.0V049.0V047.0V044.0V039.0V035.0V035.0V033.0V030.0V029.0V027.0V027.0V027.0V028.0V029.0V031.0V032.0V034.0V037.0V039.0V
2814800487890215050700934V00933V00933V00933V00933V00933V00934V00934V00934V00935V00935V00935V00934V00933V00932V00932V00931V00931V00930V00930V00930V00930V00930V00931V
2814800488890215050701.00V01.00V01.00V01.00V01.00V022.0V00134V00257V00390V00492V00693V00886V00878V00889V00798V00644V00465V00225V023.0V01.00V01.00V01.00V01.00V01.00V
2814800489890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2816100107080215050701.00V01.00V04.00V06.00V034.0V042.0V022.0V029.0V06.00V04.00V03.00V01.00V02.00V03.00V02.00V02.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V
28161001080802150507019.0V018.0V038.0V038.0V049.0V055.0V046.0V044.0V020.0V014.0V013.0V010.0V08.00V08.00V05.00V07.00V06.00V010.0V09.00V013.0V021.0V014.0V09.00V06.00V
2816100109490215050703.00V02.00V03.00V05.00V03.00V02.00V03.00V011.0V012.0V05.00V013.0V032.0V012.0V014.0V09.00V04.00V05.00V06.00V06.00V013.0V010.0V010.0V08.00V08.00V
28161001140602150507031.0V045.0V017.0V011.0V01.00V04.00V015.0V024.0V061.0V076.0V081.0V00103V00116V00123V00127V00126V00126V00109V00108V098.0V084.0V086.0V088.0V091.0V
2816100181890215050700.70V00.60V00.60V00.50V00.50V01.20V01.20V01.40V01.50V01.70V01.10V01.80V02.40V02.20V01.20V02.10V02.90V03.30V03.70V03.30V02.30V02.60V03.00V03.30V
2816100182890215050700252V00215V00160V00198V00140V00101V094.0V095.0V00119V00165V00124V00214V00284V00318V030.0V00230V00297V00298V00310V00323V00313V00301V00305V00308V
28161001838902150507011.6V011.0V010.0V09.40V08.90V010.4V012.0V014.9V018.4V021.4V024.0V025.5V025.9V027.7V029.8V030.9V031.0V030.5V027.7V023.4V021.7V020.4V019.6V018.4V
28161001868902150507047.0V045.0V048.0V051.0V054.0V049.0V046.0V042.0V038.0V035.0V031.0V024.0V018.0V016.0V015.0V014.0V015.0V015.0V019.0V026.0V031.0V031.0V031.0V038.0V
2816100187890215050700951V00950V00950V00950V00950V00950V00950V00950V00950V00950V00950V00949V00948V00947V00946V00945V00945V00945V00945V00945V00946V00946V00946V00947V
2816100188890215050704.00V04.00V04.00V04.00V04.00V068.0V00147V00317V00539V00750V00912V00969V00970V00910V00761V00598V00413V00122V057.0V05.00V04.00V04.00V04.00V04.00V
2816100189890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2817100101380215050701.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V*****N02.00V02.00V01.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V
2817100106480215050700.20V00.20V00.10V00.20V00.20V00.20V00.20V00.30V00.20V00.20V00.20V00.30V00.20V00.20V00.20V00.20V00.30V00.20V00.20V00.30V00.20V00.20V00.10V00.20V
2817100107080215050701.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V04.00V07.00V*****N*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V
28171001080802150507010.0V010.0V09.00V09.00V010.0V010.0V012.0V013.0V018.0V025.0V*****N*****N03.00V01.00V01.00V01.00V01.00V01.00V01.00V06.00V05.00V05.00V03.00V04.00V
2817100109490215050702.00V02.00V01.00V01.00V01.00V02.00V06.00V010.0V013.0V012.0V012.0V012.0V012.0V012.0V09.00V010.0V012.0V011.0V012.0V026.0V044.0V020.0V06.00V010.0V
28171001104902150507013.0V011.0V07.00V06.00V07.00V010.0V026.0V024.0V019.0V018.0V017.0V017.0V017.0V018.0V017.0V018.0V019.0V018.0V020.0V050.0V094.0V052.0V030.0V021.0V
28171001140602150507049.0V046.0V046.0V045.0V045.0V046.0V046.0V056.0V060.0V069.0V072.0V*****N00118V00123V00127V00128V00128V00126V00122V096.0V085.0V081.0V070.0V065.0V
2817100181890215050701.50V01.20V01.80V02.00V02.20V02.00V02.40V02.90V02.70V01.90V02.20V02.10V02.60V02.50V02.10V02.20V02.50V03.00V01.80V01.20V01.40V01.90V02.40V01.30V
28171001828902150507044.0V045.0V079.0V057.0V087.0V055.0V039.0V023.0V033.0V053.0V053.0V085.0V00163V00149V00185V00163V00175V00186V00173V00208V00149V00171V00169V00191V
2817100183890215050709.50V08.60V08.00V07.30V07.10V07.30V09.00V012.4V016.7V021.0V022.9V025.1V026.1V027.0V027.9V028.3V028.3V028.0V027.2V022.8V020.0V017.5V015.2V014.6V
28171001868902150507062.0V066.0V067.0V069.0V069.0V067.0V062.0V051.0V041.0V029.0V027.0V025.0V020.0V018.0V017.0V018.0V018.0V019.0V022.0V031.0V039.0V046.0V056.0V059.0V
2817100187890215050700963V00963V00963V00963V00962V00963V00963V00963V00963V00963V00962V00961V00960V00960V00959V00958V00957V00957V00957V00958V00958V00959V00959V00960V
2817100188890215050701.00V01.00V01.00V01.00V01.00V024.0V00124V00291V00533V00790V00842V00905V00910V00856V00750V00603V00429V00248V077.0V03.00V01.00V01.00V01.00V01.00V
2817100189890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2818000107080215050703.00V01.00V01.00V01.00V01.00V03.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28180001080802150507046.0V045.0V024.0V09.00V016.0V047.0V029.0V021.0V012.0V07.00V05.00V05.00V08.00V05.00V04.00V05.00V05.00V010.0V017.0V023.0V019.0V014.0V05.00V04.00V
2818000109490215050706.00V07.00V07.00V06.00V05.00V07.00V08.00V012.0V012.0V013.0V012.0V010.0V015.0V012.0V09.00V08.00V07.00V09.00V010.0V08.00V09.00V09.00V08.00V09.00V
28180001140602150507018.0V020.0V056.0V079.0V073.0V034.0V055.0V066.0V080.0V087.0V00101V00115V00121V00127V00129V00127V00116V00115V096.0V069.0V074.0V086.0V00101V00101V
2818000181890215050700.20V00.10V00.50V00.70V00.70V01.30V01.10V01.20V02.30V02.30V02.20V02.20V02.10V02.50V01.60V02.00V02.50V01.60V01.40V01.10V01.30V01.50V02.50V02.50V
2818000182890215050700126V00215V00176V00194V00202V00220V00209V00206V00226V00237V00246V00246V00258V00254V00246V00248V00262V00279V00289V00276V00284V00275V00275V00275V
28180001838902150507011.5V011.0V010.6V010.0V09.70V010.4V012.6V013.6V015.6V017.9V020.9V023.2V024.8V025.0V026.1V026.5V026.9V027.0V024.6V021.2V019.5V018.5V018.1V016.8V
28180001868902150507034.0V034.0V034.0V036.0V038.0V040.0V041.0V045.0V043.0V038.0V029.0V018.0V013.0V014.0V015.0V015.0V014.0V015.0V019.0V025.0V027.0V028.0V024.0V028.0V
2818000187890215050700926V00926V00926V00926V00925V00925V00926V00926V00926V00926V00925V00925V00924V00924V00923V00922V00921V00921V00921V00922V00922V00923V00923V00923V
2818000188890215050704.00V04.00V04.00V04.00V04.00V062.0V00225V00312V00584V00717V00853V00988V01007V00903V00772V00642V00343V00229V037.0V04.00V04.00V04.00V04.00V04.00V
2818000189890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800500201380215050801.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2800500206480215050800.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V*****N00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V
2800500207080215050801.00V01.00V01.00V01.00V01.00V01.00V03.00V05.00V05.00V*****N02.00V03.00V03.00V03.00V03.00V03.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V
28005002080802150508013.0V08.00V08.00V08.00V09.00V016.0V020.0V021.0V019.0V*****N013.0V016.0V015.0V016.0V015.0V015.0V016.0V015.0V013.0V018.0V021.0V024.0V020.0V016.0V
28005002104902150508024.0V019.0V023.0V023.0V015.0V025.0V025.0V036.0V029.0V028.0V032.0V023.0V037.0V026.0V025.0V023.0V09.00V08.00V031.0V027.0V025.0V027.0V019.0V015.0V
28005002140602150508081.0V088.0V081.0V080.0V069.0V053.0V049.0V050.0V054.0V*****N*****N073.0V078.0V079.0V080.0V083.0V084.0V077.0V070.0V060.0V052.0V045.0V044.0V046.0V
2800500281890215050802.50V02.70V02.20V02.60V02.70V01.90V02.30V02.30V02.50V02.80V02.40V02.10V02.40V02.30V02.20V02.10V02.00V02.20V02.20V01.80V01.60V01.50V01.40V01.20V
2800500282890215050800266V00276V00271V00264V00265V00278V00295V00290V00289V00281V00289V00302V00297V00301V00290V00294V00283V00297V00302V00290V00268V00217V00214V00224V
28005002838902150508019.6V019.1V017.3V015.8V014.9V014.0V015.1V015.9V017.8V019.5V021.0V021.8V022.7V024.1V024.1V024.3V024.8V023.9V022.6V021.3V020.3V018.9V017.7V017.0V
28005002868902150508032.0V036.0V043.0V041.0V048.0V067.0V072.0V072.0V062.0V051.0V043.0V039.0V036.0V033.0V033.0V031.0V030.0V035.0V040.0V046.0V051.0V058.0V063.0V066.0V
2800500287890215050800935V00936V00936V00937V00938V00939V00939V00940V00940V00940V00941V00940V00941V00940V00940V00940V00940V00940V00941V00942V00943V00943V00943V00944V
2800500288890215050804.00V04.00V04.00V04.00V04.00V027.0V00176V00326V00547V00699V00664V00464V00685V00812V00614V00339V081.0V039.0V011.0V04.00V04.00V04.00V04.00V04.00V
2800500289890215050800.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800600407080215050803.00V03.00V02.00V02.00V02.00V04.00V07.00V06.00V05.00V05.00V04.00V04.00V04.00V03.00V03.00V03.00V03.00V02.00V03.00V03.00V04.00V02.00V03.00V03.00V
